Bucketed Score,Intersection,Lat,Long,Raw Score,Accidents,Traffic
10.0,Broome Street,40.716394,-73.984536,0.0455,9,198
10.0,East 10th Street & FDR Drive,40.7241822,-73.9735174,0.0454,46,1013
10.0,Riverside Drive & West 162nd Street,40.838559,-73.945856,0.0454,20,441
10.0,Riverside Drive & West 140th Street,40.824126,-73.95483,0.0453,25,552
10.0,Wadsworth Avenue & West 175th Street,40.845948,-73.937809,0.0452,10,221
10.0,East 128th Street & Lexington Avenue,40.806296,-73.936016,0.0449,45,1002
10.0,Saint Nicholas Avenue & West 189th Street,40.85431,-73.930082,0.0447,21,470
10.0,Broadway & West 172nd Street,40.843942,-73.939025,0.0446,42,941
10.0,Broadway & Fairview Avenue,40.856716,-73.932631,0.0446,41,920
10.0,FDR Drive,40.7590213,-73.9583831,0.0445,75,1684
10.0,Audubon Avenue & West 185th Street,40.851109,-73.930602,0.0444,13,293
10.0,Amsterdam Avenue & West 131st Street,40.8163558,-73.9540766,0.0444,37,834
10.0,Malcolm X Boulevard & West 130th Street,40.8109749,-73.9432528,0.0442,50,1132
10.0,Frederick Douglass Boulevard & West 143rd Street,40.821542,-73.942865,0.0441,52,1179
10.0,Broadway & West 175th Street,40.846193,-73.938451,0.0441,34,771
10.0,Ellwood Street & West 196th Street,40.860862,-73.928817,0.044,7,159
10.0,Saint Nicholas Avenue & West 181st Street,40.849321,-73.933731,0.0437,66,1509
10.0,Frederick Douglass Boulevard & West 144th Street,40.822164,-73.942411,0.0437,52,1189
10.0,Audubon Avenue & West 167th Street,40.8398976,-73.9388015,0.0435,7,161
10.0,2nd Avenue & East 59th Street,40.7606332,-73.9643309,0.043,561,13047
10.0,Saint Nicholas Avenue & West 174th Street,40.844788,-73.937043,0.0429,19,443
10.0,10th Avenue,40.867026,-73.917044,0.0427,25,586
10.0,Edgecombe Avenue & West 137th Street,40.81838,-73.94698,0.0426,8,188
10.0,Adam Clayton Powell Jr. Boulevard & West 129th Street,40.8115415,-73.9465501,0.0425,46,1082
10.0,Bennett Avenue & West 186th Street,40.853479,-73.935133,0.0423,18,426
10.0,Broadway & Saint Nicholas Avenue,40.8416657,-73.9392736,0.0422,58,1376
10.0,Malcolm X Boulevard & West 128th Street,40.8097268,-73.9441642,0.042,52,1239
10.0,Haven Avenue,40.844601,-73.942459,0.0419,19,453
10.0,145th Street Bridge & Esplanade Gardens Plaza,40.8204537,-73.9362503,0.0419,180,4295
10.0,Saint Nicholas Avenue & West 154th Street,40.83016,-73.941667,0.0418,13,311
10.0,Amsterdam Avenue & West 153rd Street,40.8302699,-73.9439142,0.0415,20,482
10.0,Saint Nicholas Avenue & West 188th Street,40.853685,-73.930539,0.0413,27,654
10.0,Wadsworth Avenue & West 181st Street,40.84984,-73.934966,0.041,49,1194
10.0,East 131st Street & Lexington Avenue,40.8087947,-73.9361363,0.041,38,927
10.0,East 126th Street & Lexington Avenue,40.8050469,-73.9369273,0.0405,78,1926
10.0,Jumel Terrace & West 160th Street,40.834156,-73.9392421,0.0404,4,99
10.0,Dyckman Street & Post Avenue,40.862582,-73.925373,0.0404,87,2155
10.0,Academy Street & Sherman Avenue,40.864403,-73.923767,0.0403,33,819
10.0,10th Avenue,40.867633,-73.916588,0.0402,24,597
10.0,Rutgers Street,40.7119696,-73.9899105,0.04,1,25
10.0,Broadway & West 141st Street,40.8238602,-73.9522576,0.0398,38,954
10.0,Saint Nicholas Avenue & West 160th Street,40.8344923,-73.940048,0.0398,9,226
