PARSED_DATE,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
2013-01-02,53,129,65,81,19
2013-01-03,60,131,107,90,22
2013-01-04,57,118,99,93,22
2013-01-05,43,80,73,88,22
2013-01-06,40,82,72,83,24
2013-01-07,56,131,83,90,28
2013-01-08,55,136,92,91,25
2013-01-09,49,94,89,114,32
2013-01-10,50,135,120,100,30
2013-01-11,55,174,136,120,29
2013-01-12,48,119,74,97,20
2013-01-13,30,92,74,73,25
2013-01-14,61,134,94,91,27
2013-01-15,48,112,109,100,25
2013-01-16,44,130,101,137,22
2013-01-17,48,115,110,94,25
2013-01-18,50,110,140,104,28
2013-01-19,43,101,102,96,19
2013-01-20,34,83,79,83,16
2013-01-21,26,97,57,76,24
2013-01-22,50,112,97,107,35
2013-01-23,44,143,104,101,16
2013-01-24,51,131,119,100,30
2013-01-25,70,152,122,153,44
2013-01-26,56,129,113,113,29
2013-01-27,44,89,91,83,15
2013-01-28,50,130,98,98,28
2013-01-29,51,125,100,110,23
2013-01-30,39,104,108,100,25
2013-01-31,48,136,116,113,25
2013-02-01,52,148,132,102,26
2013-02-02,73,137,105,101,18
2013-02-03,52,131,71,87,22
2013-02-04,67,132,88,112,35
2013-02-05,54,119,117,120,32
2013-02-06,54,135,110,99,36
2013-02-07,53,116,103,112,16
2013-02-08,111,193,108,138,30
2013-02-09,48,90,82,102,23
2013-02-10,32,94,80,75,24
2013-02-11,43,118,87,100,19
2013-02-12,62,113,95,96,27
2013-02-13,58,124,113,107,35
2013-02-14,58,153,109,122,32
2013-02-15,70,118,139,121,27
2013-02-16,55,109,87,84,23
2013-02-17,42,113,89,78,21
2013-02-18,32,82,82,68,24
2013-02-19,55,108,111,93,21
2013-02-20,54,126,82,92,34
2013-02-21,44,113,108,85,26
2013-02-22,62,120,118,93,19
2013-02-23,51,116,113,109,33
2013-02-24,43,104,89,74,21
2013-02-25,66,104,97,90,22
2013-02-26,43,127,115,96,26
2013-02-27,52,125,123,93,30
2013-02-28,55,131,103,84,15
2013-03-01,67,133,111,112,34
2013-03-02,44,110,103,86,20
2013-03-03,44,111,93,93,23
2013-03-04,52,156,114,108,36
2013-03-05,46,115,99,104,24
2013-03-06,53,124,103,91,18
2013-03-07,69,130,109,96,37
2013-03-08,127,193,134,205,44
2013-03-09,64,109,122,101,37
2013-03-10,42,96,78,84,19
2013-03-11,57,130,90,108,23
2013-03-12,54,113,134,99,20
2013-03-13,60,137,134,122,28
2013-03-14,67,138,116,83,25
2013-03-15,70,128,133,101,31
2013-03-16,60,108,102,121,25
2013-03-17,44,108,89,84,20
2013-03-18,80,127,124,117,33
2013-03-19,64,118,91,112,31
2013-03-20,52,125,108,104,31
2013-03-21,50,110,90,93,29
2013-03-22,55,135,108,137,30
2013-03-23,49,94,104,96,25
2013-03-24,46,103,99,88,20
2013-03-25,41,127,97,107,26
2013-03-26,32,85,91,99,26
2013-03-27,51,97,94,101,18
2013-03-28,48,117,128,114,22
2013-03-29,57,106,112,102,19
2013-03-30,62,103,95,115,25
2013-03-31,39,100,80,102,8
2013-04-01,49,100,91,98,23
2013-04-02,43,76,93,86,30
2013-04-03,42,129,109,93,31
2013-04-04,59,160,99,89,25
2013-04-05,61,129,122,127,24
2013-04-06,49,131,125,99,20
2013-04-07,43,96,106,96,18
2013-04-08,54,149,109,124,31
2013-04-09,58,149,118,116,26
2013-04-10,50,144,125,107,29
2013-04-11,53,126,101,105,17
2013-04-12,76,159,135,105,35
2013-04-13,39,118,120,121,33
2013-04-14,49,108,112,85,16
2013-04-15,55,161,107,127,22
2013-04-16,61,132,129,98,31
2013-04-17,59,107,120,98,25
2013-04-18,51,127,124,98,25
2013-04-19,60,132,120,90,25
2013-04-20,59,118,117,101,13
2013-04-21,54,104,64,90,16
2013-04-22,54,131,118,115,23
2013-04-23,55,119,109,87,26
2013-04-24,50,146,111,117,34
2013-04-25,62,139,105,109,21
2013-04-26,82,161,135,114,29
2013-04-27,40,104,106,111,26
2013-04-28,34,110,88,78,16
2013-04-29,56,153,113,134,37
2013-04-30,45,153,127,97,38
2013-05-01,55,140,121,98,37
2013-05-02,58,132,113,110,37
2013-05-03,68,148,132,146,37
2013-05-04,44,138,144,103,22
2013-05-05,43,115,104,101,23
2013-05-06,60,129,112,105,28
2013-05-07,65,151,120,96,27
2013-05-08,42,168,139,96,28
2013-05-09,49,157,128,111,30
2013-05-10,73,173,140,115,37
2013-05-11,50,116,114,96,31
2013-05-12,49,124,96,106,17
2013-05-13,63,138,113,108,26
2013-05-14,46,116,117,124,27
2013-05-15,52,110,101,114,33
2013-05-16,71,112,127,114,19
2013-05-17,87,161,162,134,25
2013-05-18,58,114,114,97,20
2013-05-19,49,128,105,101,35
2013-05-20,57,164,142,129,29
2013-05-21,51,165,139,152,36
2013-05-22,66,127,130,90,25
2013-05-23,64,168,171,147,38
2013-05-24,57,154,147,112,33
2013-05-25,65,104,101,112,21
2013-05-26,43,107,93,92,24
2013-05-27,45,112,72,83,21
2013-05-28,81,150,121,135,36
2013-05-29,53,121,130,108,25
2013-05-30,59,171,142,133,40
2013-05-31,85,171,151,129,37
2013-06-01,64,155,117,120,33
2013-06-02,46,119,96,90,26
2013-06-03,70,163,142,129,34
2013-06-04,60,144,123,108,23
2013-06-05,61,131,107,123,30
2013-06-06,61,144,129,110,24
2013-06-07,83,175,163,167,35
2013-06-08,64,133,102,102,33
2013-06-09,52,133,108,91,23
2013-06-10,55,144,124,132,32
2013-06-11,57,151,118,129,23
2013-06-12,64,129,138,107,33
2013-06-13,50,141,115,99,29
2013-06-14,81,169,157,110,27
2013-06-15,65,137,123,104,31
2013-06-16,47,111,97,83,21
2013-06-17,42,190,117,91,31
2013-06-18,57,159,127,100,37
2013-06-19,54,153,143,120,39
2013-06-20,78,173,111,105,44
2013-06-21,40,155,159,140,36
2013-06-22,68,116,121,119,23
2013-06-23,36,138,93,93,21
2013-06-24,69,154,155,114,37
2013-06-25,62,152,130,112,35
2013-06-26,65,128,134,128,33
2013-06-27,49,132,136,114,23
2013-06-28,60,136,136,109,35
2013-06-29,46,151,113,115,28
2013-06-30,42,102,105,80,15
2013-07-01,58,165,134,112,20
2013-07-02,53,149,116,116,21
2013-07-03,53,150,123,110,16
2013-07-04,57,107,65,87,17
2013-07-05,72,139,103,113,20
2013-07-06,78,111,81,104,17
2013-07-07,51,118,93,94,11
2013-07-08,50,133,122,119,23
2013-07-09,64,128,114,106,20
2013-07-10,53,136,127,124,16
2013-07-11,63,142,126,85,15
2013-07-12,62,136,137,100,23
2013-07-13,53,124,106,111,26
2013-07-14,59,102,91,101,14
2013-07-15,56,140,118,100,21
2013-07-16,58,114,116,121,20
2013-07-17,47,128,117,156,18
2013-07-18,56,166,130,116,10
2013-07-19,68,155,158,129,18
2013-07-20,64,116,105,124,16
2013-07-21,40,102,83,92,11
2013-07-22,43,139,108,124,21
2013-07-23,62,130,114,107,11
2013-07-24,53,118,139,105,16
2013-07-25,48,114,117,104,10
2013-07-26,52,140,154,107,16
2013-07-27,49,104,124,123,15
2013-07-28,48,106,101,105,10
2013-07-29,69,118,131,122,19
2013-07-30,59,136,115,113,12
2013-07-31,51,118,129,105,10
2013-08-01,59,168,126,124,21
2013-08-02,64,144,132,113,24
2013-08-03,64,109,113,76,22
2013-08-04,45,91,103,85,12
2013-08-05,55,127,113,105,18
2013-08-06,55,135,115,96,15
2013-08-07,54,114,102,99,14
2013-08-08,44,116,122,103,19
2013-08-09,58,155,111,112,27
2013-08-10,41,97,108,111,10
2013-08-11,52,105,83,99,16
2013-08-12,55,131,108,83,10
2013-08-13,45,127,126,106,15
2013-08-14,62,143,128,125,16
2013-08-15,57,133,139,98,25
2013-08-16,62,137,151,114,24
2013-08-17,35,122,99,93,16
2013-08-18,48,84,106,82,16
2013-08-19,52,103,100,91,8
2013-08-20,67,117,112,102,14
2013-08-21,35,149,127,122,20
2013-08-22,47,139,127,101,24
2013-08-23,68,138,139,105,23
2013-08-24,57,139,92,93,19
2013-08-25,46,102,99,87,13
2013-08-26,54,133,106,89,14
2013-08-27,48,113,120,83,15
2013-08-28,35,105,110,92,11
2013-08-29,47,142,122,100,15
2013-08-30,50,155,109,103,17
2013-08-31,44,127,93,86,16
2013-09-01,52,138,84,92,8
2013-09-02,26,135,77,83,7
2013-09-03,46,142,122,101,10
2013-09-04,57,136,127,95,16
2013-09-05,37,110,107,91,19
2013-09-06,59,107,103,112,25
2013-09-07,65,113,135,107,14
2013-09-08,63,104,94,97,14
2013-09-09,59,156,133,120,17
2013-09-10,53,147,145,110,19
2013-09-11,58,126,130,120,23
2013-09-12,62,176,149,125,18
2013-09-13,64,133,145,138,26
2013-09-14,53,115,115,103,17
2013-09-15,47,129,96,75,13
2013-09-16,73,115,128,117,20
2013-09-17,70,169,124,109,18
2013-09-18,60,126,102,123,17
