Bucketed Score,Intersection,Lat,Long,Score,Accidents,Traffic
10.0,Broadway & West 171st Street,40.843223,-73.939177,227.27,12,528
10.0,Wadsworth Terrace & West 190th Street,40.855755,-73.931655,227.27,2,88
10.0,Amsterdam Avenue & West 186th Street,40.8511764,-73.9286408,222.22,3,135
10.0,Broadway,40.858271,-73.931818,214.59,10,466
10.0,Broadway & West 159th Street,40.8352891,-73.9439155,213.59,11,515
10.0,9th Avenue & West 205th Street,40.862394,-73.918015,209.42,4,191
10.0,Wadsworth Terrace & West 188th Street,40.855157,-73.932092,208.33,2,96
10.0,Broadway & West 155th Street,40.8327461,-73.9457725,207.56,28,1349
10.0,Amsterdam Avenue & West 169th Street,40.8404789,-73.9364566,206.19,4,194
10.0,East 130th Street & Park Avenue,40.8081685,-73.9365933,205.76,10,486
10.0,Isham Street & Sherman Avenue,40.866315,-73.918596,204.08,5,245
10.0,Broadway & West 166th Street,40.8398471,-73.9405865,203.11,17,837
10.0,Ellwood Street & Sherman Avenue,40.8622188,-73.9296889,203.05,4,197
10.0,Frederick Douglass Boulevard & West 154th Street,40.8285,-73.937782,202.7,6,296
10.0,Amsterdam Avenue & Audubon Avenue,40.8571682,-73.9274354,201.01,4,199
10.0,Broadway & West 170th Street,40.842436,-73.939255,200.0,11,550
10.0,Broadway & West 157th Street,40.8340611,-73.9448113,197.29,16,811
10.0,East 128th Street & Park Avenue,40.80692,-73.9375047,196.89,19,965
10.0,Wadsworth Avenue & West 176th Street,40.846623,-73.937313,194.44,7,360
10.0,Broadway & West 174th Street,40.8454318,-73.9386774,192.31,9,468
10.0,Bradhurst Avenue & West 155th Street (surface),40.828986,-73.93896,187.89,9,479
10.0,Dyckman Street,40.8678058,-73.9300052,186.05,4,215
10.0,Amsterdam Avenue & West 157th Street,40.8328806,-73.9420072,186.05,12,645
10.0,Amsterdam Avenue & West 151st Street,40.8290147,-73.9448311,185.98,13,699
10.0,Adam Clayton Powell Jr. Boulevard & West 141st Street,40.8191286,-73.9410058,184.84,10,541
10.0,Broadway & West 173rd Street,40.8446886,-73.9388653,184.62,6,325
10.0,Broadway Terrace & Fairview Avenue,40.856851,-73.931475,183.82,5,272
10.0,Fort Washington Avenue & Margaret Corbin Plaza,40.8592618,-73.9341543,183.49,2,109
10.0,Bowery & Delancey Street,40.720262,-73.994002,182.09,108,5931
10.0,Wadsworth Avenue & West 175th Street,40.845948,-73.937809,181.0,4,221
10.0,Amsterdam Avenue & West 187th Street,40.8518592,-73.9281419,178.57,2,112
10.0,Edgecombe Avenue & West 136th Street,40.81776,-73.947441,176.21,4,227
10.0,Adam Clayton Powell Jr. Boulevard & West 144th Street,40.8209353,-73.9394931,174.56,14,802
10.0,Edgecombe Avenue & West 167th Street,40.8381008,-73.9362325,174.42,3,172
10.0,Amsterdam Avenue & West 170th Street,40.8410633,-73.9360297,172.91,6,347
10.0,Broadway & West 153rd Street,40.8314449,-73.946722,172.74,9,521
10.0,West 59th Street,40.7727839,-73.9932054,171.57,7,408
10.0,Adam Clayton Powell Jr. Boulevard & West 143rd Street,40.8203116,-73.939948,170.73,7,410
10.0,Audubon Avenue & West 166th Street,40.839296,-73.939239,169.97,6,353
10.0,Vermilyea Avenue & West 211th Street,40.867584,-73.918414,169.49,1,59
10.0,East 129th Street & Lexington Avenue,40.8069238,-73.9355687,165.38,15,907
10.0,Isham Street & Vermilyea Avenue,40.867275,-73.919215,165.29,4,242
10.0,Fairview Avenue & Fort George Hill,40.8571635,-73.9282354,165.29,10,605
10.0,Harlem River Drive,40.8140779,-73.9348183,162.6,6,369
10.0,Audubon Avenue & West 173rd Street,40.84355,-73.936126,162.6,6,369
10.0,Amsterdam Avenue & West 152nd Street,40.8296401,-73.9443743,162.24,11,678
10.0,Macombs Place & West 153rd Street,40.8272128,-73.9366579,158.73,2,126
10.0,Amsterdam Avenue & West 155th Street,40.8315635,-73.9429693,158.14,17,1075
10.0,Cherry Street & Market Street,40.710557,-73.994138,158.01,7,443
10.0,Hamilton Place & West 142nd Street,40.8236097,-73.9496898,156.25,9,576
10.0,Baruch Place & Delancey Street,40.7156953,-73.9780783,155.28,5,322
10.0,Riverside Drive & West 152nd Street,40.831695,-73.949256,155.04,4,258
10.0,Haven Avenue,40.844601,-73.942459,154.53,7,453
10.0,Catherine Slip,40.7102032,-73.9965066,152.28,6,394
10.0,Broadway & Fairview Avenue,40.856716,-73.932631,152.17,14,920
10.0,Water Street,40.7097946,-73.9960795,151.98,5,329
10.0,Adam Clayton Powell Jr. Boulevard & West 145th Street,40.8216091,-73.9390145,147.73,45,3046
10.0,Saint Nicholas Avenue & West 149th Street,40.826645,-73.943059,147.06,5,340
10.0,Broadway & West 156th Street,40.8334062,-73.9452905,144.78,14,967
10.0,Broadway & West 163rd Street,40.837767,-73.9420965,144.01,16,1111
10.0,3rd Avenue & East 127th Street,40.8050044,-73.9348733,142.45,5,351
10.0,Broadway & West 176th Street,40.846934,-73.938227,141.91,15,1057
10.0,Amsterdam Avenue & West 159th Street,40.8341102,-73.941109,140.56,7,498
10.0,Nagle Avenue & Thayer Street,40.861259,-73.925668,138.41,4,289
10.0,Sherman Avenue,40.8626215,-73.9286059,136.05,2,147
10.0,Saint Nicholas Avenue & West 174th Street,40.844788,-73.937043,135.44,6,443
10.0,Saint Nicholas Avenue & West 155th Street,40.830891,-73.941368,132.45,16,1208
10.0,Saint Nicholas Avenue & West 173rd Street,40.844137,-73.937518,129.87,4,308
10.0,East 128th Street & Lexington Avenue,40.806296,-73.936016,129.74,13,1002
10.0,Audubon Avenue & West 174th Street,40.844201,-73.935653,129.31,6,464
10.0,Saint Nicholas Avenue & West 189th Street,40.85431,-73.930082,127.66,6,470
10.0,Edgecombe Avenue,40.8404453,-73.9352897,127.39,2,157
10.0,Duane Street,40.7141186,-74.0034172,127.39,4,314
10.0,Amsterdam Avenue & West 165th Street,40.8378835,-73.9383539,125.31,5,399
10.0,Bennett Avenue & West 187th Street,40.854501,-73.934627,125.22,7,559
10.0,Hamilton Place & West 143rd Street,40.8240824,-73.9488825,125.0,5,400
10.0,5th Avenue & East 138th Street,40.81467,-73.936224,124.22,12,966
10.0,Riverside Drive & West 156th Street,40.8344441,-73.9476638,121.21,2,165
10.0,12th Avenue & West 131st Street,40.8187627,-73.9597831,120.97,3,248
10.0,Park Terrace East & West 215th Street,40.8701354,-73.9170165,120.48,2,166
10.0,Wadsworth Avenue & West 190th Street,40.8554227,-73.9308767,120.48,3,249
10.0,Saint Nicholas Avenue & West 172nd Street,40.843501,-73.937982,119.05,5,420
10.0,Adam Clayton Powell Jr. Boulevard,40.8260058,-73.935896,117.37,5,426
10.0,Broadway & West 187th Street,40.8541572,-73.9337034,117.23,20,1706
10.0,Broadway & West 151st Street,40.8301952,-73.9476383,115.09,9,782
10.0,West 181st Street,40.850448,-73.936661,114.94,8,696
10.0,Riverside Drive & West 162nd Street,40.838559,-73.945856,113.38,5,441
10.0,5th Avenue & West 129th Street,40.8089533,-73.9404148,111.52,15,1345
10.0,Edgecombe Avenue,40.83785,-73.936383,110.5,2,181
10.0,Frederick Douglass Boulevard & West 153rd Street,40.827877,-73.938237,108.99,4,367
10.0,Adam Clayton Powell Jr. Boulevard & West 147th Street,40.8229045,-73.9380641,108.6,12,1105
10.0,East 131st Street & Lexington Avenue,40.8087947,-73.9361363,107.87,10,927
10.0,Broadway & West 196th Street,40.860641,-73.930771,106.76,6,562
10.0,Edgecombe Avenue & West 137th Street,40.81838,-73.94698,106.38,2,188
10.0,Broadway & West 172nd Street,40.843942,-73.939025,106.27,10,941
