Bucketed Score,Intersection,Lat,Long,Score,Accidents,Traffic
10.0,N/A,40.8007671,-73.9348639,3589.74,14,39
10.0,N/A,40.7150019,-73.9772515,3333.33,1,3
10.0,Amsterdam Avenue,40.8461493,-73.9323138,3113.21,33,106
10.0,Williamsburg Bridge,40.7173688,-73.9841411,3043.48,7,23
10.0,Amsterdam Avenue & West 179th Street,40.8467983,-73.9318397,2592.59,14,54
10.0,West 125th Street,40.8187696,-73.9610912,1372.55,7,51
10.0,Harlem River Drive,40.8305431,-73.9361119,1333.33,2,15
10.0,Wadsworth Avenue & West 192nd Street,40.8566083,-73.9297266,1219.51,5,41
10.0,Delancey Street,40.7178211,-73.9857349,1179.4,71,602
10.0,N/A,40.7116882,-74.0027433,1176.47,4,34
10.0,Nagle Avenue,40.8614439,-73.9250224,1060.61,7,66
10.0,N/A,40.858935,-73.9229661,1034.48,24,232
10.0,Amsterdam Avenue & West 177th Street,40.845538,-73.9327605,1000.0,9,90
10.0,Saint Nicholas Avenue & West 192nd Street,40.856182,-73.928716,862.07,10,116
10.0,Audubon Avenue & West 193rd Street,40.85623,-73.926863,857.14,6,70
10.0,East 128th Street,40.8056302,-73.9343783,837.21,18,215
10.0,Amsterdam Avenue,40.8423037,-73.9351235,692.31,9,130
10.0,Staff Street,40.8668641,-73.9309781,689.66,2,29
10.0,Academy Street & Nagle Avenue,40.8624268,-73.9225094,655.74,8,122
10.0,Macombs Place & West 154th Street,40.8276596,-73.9357729,649.35,5,77
10.0,10th Avenue & Nagle Avenue,40.8637912,-73.9194094,640.0,8,125
10.0,10th Avenue & West 216th Street,40.870225,-73.914694,632.91,5,79
10.0,Amsterdam Avenue,40.8474237,-73.9313827,602.41,10,166
10.0,9th Avenue & West 206th Street,40.86302,-73.917555,564.1,11,195
10.0,Riverside Drive,40.839232,-73.945543,553.0,12,217
10.0,Broadway & West 220th Street,40.8723563,-73.9128142,537.63,20,372
10.0,Amsterdam Avenue & Washington Bridge,40.8481397,-73.9308625,534.43,52,973
